,x,y,celltype_F,rotated_x,rotated_y
3107,9394,4007,Micro/PVM,9394.0,4007.0
3140,8992,4047,Oligo,8992.0,4047.0
3152,8056,4055,Oligo,8056.0,4055.0
3153,9245,4055,Oligo,9245.0,4055.0
3159,9219,4066,Oligo,9219.0,4066.0
3168,9158,4077,Oligo,9158.0,4077.0
3170,9285,4077,Oligo,9285.0,4077.0
3202,9272,4114,Oligo,9272.0,4114.0
3207,7967,4117,LAMP5 LHX6,7967.0,4117.0
3209,7869,4121,Oligo,7869.0,4121.0
3210,8017,4120,Oligo,8017.0,4120.0
3217,8452,4125,Oligo,8452.0,4125.0
3225,8680,4129,Oligo,8680.0,4129.0
3234,8038,4140,Oligo,8038.0,4140.0
3241,9098,4145,Micro/PVM,9098.0,4145.0
3261,8314,4176,Oligo,8314.0,4176.0
3266,8216,4181,Micro/PVM,8216.0,4181.0
3275,8590,4189,Oligo,8590.0,4189.0
3287,8660,4198,Oligo,8660.0,4198.0
3291,9245,4199,Oligo,9245.0,4199.0
3292,9344,4200,Oligo,9344.0,4200.0
3297,7955,4201,Oligo,7955.0,4201.0
3326,8944,4232,Oligo,8944.0,4232.0
3340,8610,4244,Oligo,8610.0,4244.0
3341,8702,4245,Micro/PVM,8702.0,4245.0
3345,8562,4250,Oligo,8562.0,4250.0
3346,9242,4248,Oligo,9242.0,4248.0
3350,8361,4251,OPC,8361.0,4251.0
3351,9159,4251,Oligo,9159.0,4251.0
3357,9014,4253,Astro,9014.0,4253.0
3362,9313,4261,Oligo,9313.0,4261.0
3365,8340,4264,Oligo,8340.0,4264.0
3366,8941,4263,Oligo,8941.0,4263.0
3381,8153,4278,Oligo,8153.0,4278.0
3392,8716,4290,Astro,8716.0,4290.0
3393,8989,4291,Oligo,8989.0,4291.0
3397,7969,4294,Oligo,7969.0,4294.0
3407,9417,4306,Oligo,9417.0,4306.0
3411,9267,4312,Oligo,9267.0,4312.0
3426,8419,4321,VLMC,8419.0,4321.0
3453,8499,4341,Oligo,8499.0,4341.0
3457,8565,4346,Oligo,8565.0,4346.0
3467,7437,4357,Oligo,7437.0,4357.0
3470,9312,4360,Oligo,9312.0,4360.0
3479,8785,4373,Oligo,8785.0,4373.0
3491,9011,4381,Oligo,9011.0,4381.0
3496,7387,4383,Oligo,7387.0,4383.0
3500,9186,4387,Oligo,9186.0,4387.0
3504,7876,4393,Oligo,7876.0,4393.0
3522,7304,4409,Oligo,7304.0,4409.0
3523,8773,4410,Oligo,8773.0,4410.0
3530,8892,4413,Oligo,8892.0,4413.0
3543,8932,4423,Oligo,8932.0,4423.0
3544,9156,4425,L6 IT Car3,9156.0,4425.0
3558,6689,4437,OPC,6689.0,4437.0
3563,8186,4444,OPC,8186.0,4444.0
3584,8143,4462,Oligo,8143.0,4462.0
3590,7888,4466,Oligo,7888.0,4466.0
3595,9343,4471,Oligo,9343.0,4471.0
3602,8745,4477,Oligo,8745.0,4477.0
3614,8117,4489,Oligo,8117.0,4489.0
3616,7903,4494,Oligo,7903.0,4494.0
3618,9328,4495,Oligo,9328.0,4495.0
3621,8658,4497,Oligo,8658.0,4497.0
3625,7432,4502,Oligo,7432.0,4502.0
3633,7292,4510,Oligo,7292.0,4510.0
3634,8751,4510,Oligo,8751.0,4510.0
3635,9162,4513,Micro/PVM,9162.0,4513.0
3638,7067,4515,Oligo,7067.0,4515.0
3639,8791,4517,L6B,8791.0,4517.0
3640,8992,4517,Oligo,8992.0,4517.0
3645,7680,4523,Oligo,7680.0,4523.0
3646,7773,4523,Oligo,7773.0,4523.0
3653,7277,4531,Oligo,7277.0,4531.0
3675,6962,4557,Oligo,6962.0,4557.0
3691,7787,4568,Oligo,7787.0,4568.0
3718,7402,4589,Oligo,7402.0,4589.0
3720,7536,4591,Oligo,7536.0,4591.0
3733,9150,4604,Oligo,9150.0,4604.0
3742,7190,4616,Oligo,7190.0,4616.0
3743,6805,4618,Oligo,6805.0,4618.0
3748,7170,4626,Oligo,7170.0,4626.0
3749,8100,4626,Oligo,8100.0,4626.0
3750,8523,4626,Oligo,8523.0,4626.0
3753,8897,4634,SST,8897.0,4634.0
3763,7498,4642,Oligo,7498.0,4642.0
3767,9421,4650,Astro,9421.0,4650.0
3772,6878,4652,Oligo,6878.0,4652.0
3773,8538,4652,Oligo,8538.0,4652.0
3791,8144,4678,Oligo,8144.0,4678.0
3798,7356,4680,Oligo,7356.0,4680.0
3820,7027,4703,Oligo,7027.0,4703.0
3822,9394,4704,Oligo,9394.0,4704.0
3831,8994,4706,Oligo,8994.0,4706.0
3835,8648,4713,Oligo,8648.0,4713.0
3837,8961,4714,Oligo,8961.0,4714.0
3838,8495,4717,Oligo,8495.0,4717.0
3847,7467,4725,Oligo,7467.0,4725.0
3849,8708,4727,Micro/PVM,8708.0,4727.0
3855,7652,4730,Oligo,7652.0,4730.0
3856,9380,4730,Oligo,9380.0,4730.0
3878,7777,4751,Oligo,7777.0,4751.0
3891,8060,4766,Oligo,8060.0,4766.0
3893,6394,4768,Oligo,6394.0,4768.0
3894,7439,4768,Oligo,7439.0,4768.0
3900,7489,4770,Micro/PVM,7489.0,4770.0
3901,7535,4770,Oligo,7535.0,4770.0
3903,8088,4771,Oligo,8088.0,4771.0
3905,8583,4773,Oligo,8583.0,4773.0
3914,7132,4781,Oligo,7132.0,4781.0
3930,9229,4792,Astro,9229.0,4792.0
3935,8122,4798,Oligo,8122.0,4798.0
3937,8909,4799,Oligo,8909.0,4799.0
3938,6882,4800,Oligo,6882.0,4800.0
3960,9018,4819,Oligo,9018.0,4819.0
3970,6696,4831,Oligo,6696.0,4831.0
3971,9151,4830,Astro,9151.0,4830.0
3972,7950,4834,L6 IT Car3,7950.0,4834.0
3987,8270,4850,Astro,8270.0,4850.0
3989,7601,4852,Oligo,7601.0,4852.0
3998,7457,4861,Oligo,7457.0,4861.0
4004,8206,4865,Astro,8206.0,4865.0
4008,9499,4871,Oligo,9499.0,4871.0
4010,8616,4874,Oligo,8616.0,4874.0
4028,8402,4888,Oligo,8402.0,4888.0
4029,8905,4889,Oligo,8905.0,4889.0
4032,7544,4888,Oligo,7544.0,4888.0
4039,6060,4894,Oligo,6060.0,4894.0
4040,7089,4894,Oligo,7089.0,4894.0
4041,9158,4895,Oligo,9158.0,4895.0
4044,8114,4896,Oligo,8114.0,4896.0
4045,8843,4897,Micro/PVM,8843.0,4897.0
4049,9125,4906,Oligo,9125.0,4906.0
4051,7368,4912,Oligo,7368.0,4912.0
4066,7463,4925,Oligo,7463.0,4925.0
4070,8496,4927,Oligo,8496.0,4927.0
4071,9315,4926,Oligo,9315.0,4926.0
4075,7211,4933,Oligo,7211.0,4933.0
4094,7555,4945,Oligo,7555.0,4945.0
4102,7288,4953,Oligo,7288.0,4953.0
4103,8290,4957,L6 IT Car3,8290.0,4957.0
4112,7622,4968,Oligo,7622.0,4968.0
4113,8607,4969,Astro,8607.0,4969.0
4114,5920,4970,OPC,5920.0,4970.0
4121,8536,4975,L6 CT,8536.0,4975.0
4128,8800,4980,Oligo,8800.0,4980.0
4129,9376,4980,Oligo,9376.0,4980.0
4131,6572,4982,Oligo,6572.0,4982.0
4134,6634,4985,Oligo,6634.0,4985.0
4140,7253,4992,Oligo,7253.0,4992.0
4145,6087,4996,Oligo,6087.0,4996.0
4151,7127,5005,Oligo,7127.0,5005.0
4171,6352,5025,Oligo,6352.0,5025.0
4172,8407,5024,Oligo,8407.0,5024.0
4189,7771,5036,Oligo,7771.0,5036.0
4192,6747,5038,Oligo,6747.0,5038.0
4202,5942,5049,Oligo,5942.0,5049.0
4204,8078,5049,Oligo,8078.0,5049.0
4209,7450,5054,Astro,7450.0,5054.0
4211,7950,5061,Oligo,7950.0,5061.0
4217,5730,5067,Oligo,5730.0,5067.0
4219,6466,5068,OPC,6466.0,5068.0
4220,7811,5071,Oligo,7811.0,5071.0
4222,9359,5071,Oligo,9359.0,5071.0
4234,9377,5086,Oligo,9377.0,5086.0
4240,6347,5090,Oligo,6347.0,5090.0
4246,7937,5095,Oligo,7937.0,5095.0
4247,8939,5095,Micro/PVM,8939.0,5095.0
4250,6486,5103,Oligo,6486.0,5103.0
4254,6263,5109,Oligo,6263.0,5109.0
4260,8494,5114,Oligo,8494.0,5114.0
4262,5881,5117,Oligo,5881.0,5117.0
4263,6761,5118,Oligo,6761.0,5118.0
4270,8996,5125,Oligo,8996.0,5125.0
4275,8185,5130,L6B,8185.0,5130.0
4276,9091,5130,Oligo,9091.0,5130.0
4278,6945,5130,Oligo,6945.0,5130.0
4297,7452,5145,Oligo,7452.0,5145.0
4298,8317,5148,Oligo,8317.0,5148.0
4303,5628,5148,Oligo,5628.0,5148.0
4307,9317,5154,Oligo,9317.0,5154.0
4316,8740,5161,OPC,8740.0,5161.0
4319,6810,5167,Oligo,6810.0,5167.0
4324,6186,5171,Oligo,6186.0,5171.0
4330,7203,5177,Oligo,7203.0,5177.0
4333,9113,5179,Oligo,9113.0,5179.0
4337,6688,5182,Oligo,6688.0,5182.0
4347,5542,5192,Oligo,5542.0,5192.0
4349,8678,5197,Oligo,8678.0,5197.0
4355,6757,5204,Oligo,6757.0,5204.0
4359,5781,5204,Oligo,5781.0,5204.0
4365,6997,5212,Oligo,6997.0,5212.0
4373,8623,5216,Astro,8623.0,5216.0
4378,7211,5222,Oligo,7211.0,5222.0
4379,7677,5219,Oligo,7677.0,5219.0
4380,6210,5225,Oligo,6210.0,5225.0
4385,6339,5230,Oligo,6339.0,5230.0
4386,8480,5231,Oligo,8480.0,5231.0
4387,7798,5232,Oligo,7798.0,5232.0
4389,7659,5234,Oligo,7659.0,5234.0
4390,6929,5239,Oligo,6929.0,5239.0
4391,7695,5241,Oligo,7695.0,5241.0
4393,6726,5245,Oligo,6726.0,5245.0
4401,7268,5248,Oligo,7268.0,5248.0
4404,8922,5249,Oligo,8922.0,5249.0
4406,8425,5254,Oligo,8425.0,5254.0
4408,7914,5255,Oligo,7914.0,5255.0
4411,7132,5262,Oligo,7132.0,5262.0
4412,7666,5262,Oligo,7666.0,5262.0
4422,6466,5271,Oligo,6466.0,5271.0
4428,6434,5279,Oligo,6434.0,5279.0
4445,8509,5292,Oligo,8509.0,5292.0
4447,5960,5292,Astro,5960.0,5292.0
4451,9311,5296,Astro,9311.0,5296.0
4454,7982,5298,Oligo,7982.0,5298.0
4459,6404,5303,Oligo,6404.0,5303.0
4474,7748,5319,Astro,7748.0,5319.0
4480,5922,5325,Oligo,5922.0,5325.0
4485,8860,5324,Astro,8860.0,5324.0
4492,7426,5331,Astro,7426.0,5331.0
4500,9306,5336,Astro,9306.0,5336.0
4503,7993,5341,Oligo,7993.0,5341.0
4504,8958,5340,Astro,8958.0,5340.0
4506,9260,5344,Oligo,9260.0,5344.0
4509,9392,5348,Oligo,9392.0,5348.0
4520,8338,5363,Oligo,8338.0,5363.0
4524,7282,5368,L6 CT,7282.0,5368.0
4527,5880,5371,Oligo,5880.0,5371.0
4528,8364,5373,Oligo,8364.0,5373.0
4534,6055,5377,L6 CT,6055.0,5377.0
4535,8832,5377,L6 CT,8832.0,5377.0
4539,6984,5380,OPC,6984.0,5380.0
4545,8543,5384,Oligo,8543.0,5384.0
4548,9015,5393,Oligo,9015.0,5393.0
4551,7852,5397,Micro/PVM,7852.0,5397.0
4552,8722,5397,OPC,8722.0,5397.0
4556,9328,5398,Oligo,9328.0,5398.0
4576,7305,5414,Oligo,7305.0,5414.0
4586,7779,5421,L6 CT,7779.0,5421.0
4591,7385,5425,Micro/PVM,7385.0,5425.0
4605,7092,5437,Oligo,7092.0,5437.0
4620,6436,5445,Oligo,6436.0,5445.0
4625,6223,5458,Oligo,6223.0,5458.0
4627,7636,5458,Oligo,7636.0,5458.0
4630,8565,5460,Oligo,8565.0,5460.0
4636,7486,5466,Oligo,7486.0,5466.0
4637,9435,5466,Oligo,9435.0,5466.0
4650,8821,5475,Oligo,8821.0,5475.0
4664,5608,5489,Oligo,5608.0,5489.0
4667,6520,5494,Oligo,6520.0,5494.0
4678,5948,5503,Oligo,5948.0,5503.0
4682,7775,5508,Oligo,7775.0,5508.0
4683,6084,5511,Oligo,6084.0,5511.0
4684,8219,5510,Oligo,8219.0,5510.0
4700,8336,5525,Astro,8336.0,5525.0
4701,7259,5526,L6 CT,7259.0,5526.0
4703,7661,5530,Oligo,7661.0,5530.0
4704,8087,5530,Oligo,8087.0,5530.0
4706,6873,5532,Micro/PVM,6873.0,5532.0
4710,6332,5537,Oligo,6332.0,5537.0
4714,5597,5541,Oligo,5597.0,5541.0
4715,7629,5540,Oligo,7629.0,5540.0
4716,6456,5542,Oligo,6456.0,5542.0
4721,8745,5545,Oligo,8745.0,5545.0
4725,8046,5554,Oligo,8046.0,5554.0
4733,6175,5561,Astro,6175.0,5561.0
4735,7829,5562,Oligo,7829.0,5562.0
4741,7670,5568,Oligo,7670.0,5568.0
4744,5859,5570,Oligo,5859.0,5570.0
4759,9349,5582,Oligo,9349.0,5582.0
4769,6939,5591,Oligo,6939.0,5591.0
4771,8804,5594,Oligo,8804.0,5594.0
4775,6424,5599,Oligo,6424.0,5599.0
4780,6229,5602,Oligo,6229.0,5602.0
4781,8250,5603,Oligo,8250.0,5603.0
4784,6488,5604,SST,6488.0,5604.0
4788,6648,5606,Oligo,6648.0,5606.0
4789,6906,5607,Oligo,6906.0,5607.0
4798,6817,5610,Astro,6817.0,5610.0
4806,5596,5612,Oligo,5596.0,5612.0
4807,5633,5614,Oligo,5633.0,5614.0
4816,6052,5624,Astro,6052.0,5624.0
4820,6513,5627,Oligo,6513.0,5627.0
4821,9257,5626,Astro,9257.0,5626.0
4823,9437,5631,Oligo,9437.0,5631.0
4840,7445,5641,Oligo,7445.0,5641.0
4841,8344,5642,OPC,8344.0,5642.0
4843,5627,5644,Astro,5627.0,5644.0
4857,8637,5663,Astro,8637.0,5663.0
4859,5692,5667,Oligo,5692.0,5667.0
4860,6092,5666,Oligo,6092.0,5666.0
4861,7404,5667,Oligo,7404.0,5667.0
4862,8298,5668,Oligo,8298.0,5668.0
4868,7329,5671,Astro,7329.0,5671.0
4883,9356,5684,Oligo,9356.0,5684.0
4888,6744,5690,Oligo,6744.0,5690.0
4891,6765,5694,Oligo,6765.0,5694.0
4900,6017,5701,Oligo,6017.0,5701.0
4906,5674,5707,Oligo,5674.0,5707.0
4907,7569,5706,Oligo,7569.0,5706.0
4926,6555,5724,Oligo,6555.0,5724.0
4927,8042,5723,Oligo,8042.0,5723.0
4933,7476,5730,Oligo,7476.0,5730.0
4942,8236,5734,Astro,8236.0,5734.0
4945,6680,5745,Oligo,6680.0,5745.0
4948,6520,5749,Oligo,6520.0,5749.0
4954,6920,5757,L6 IT,6920.0,5757.0
4972,6161,5773,Oligo,6161.0,5773.0
4978,5735,5784,Oligo,5735.0,5784.0
4979,8715,5786,OPC,8715.0,5786.0
4982,7745,5788,Oligo,7745.0,5788.0
4992,6879,5801,L6 CT,6879.0,5801.0
4993,7351,5802,Oligo,7351.0,5802.0
4997,6155,5806,Micro/PVM,6155.0,5806.0
5001,5509,5807,Astro,5509.0,5807.0
5002,7293,5809,Oligo,7293.0,5809.0
5005,8356,5812,Oligo,8356.0,5812.0
5010,9160,5812,Oligo,9160.0,5812.0
5012,5587,5814,Oligo,5587.0,5814.0
5014,6265,5816,Oligo,6265.0,5816.0
5017,7264,5818,Oligo,7264.0,5818.0
5028,7361,5825,Oligo,7361.0,5825.0
5033,8706,5829,L6 CT,8706.0,5829.0
5040,7208,5834,Oligo,7208.0,5834.0
5043,7566,5835,Oligo,7566.0,5835.0
5054,6099,5842,Astro,6099.0,5842.0
5058,5838,5846,Oligo,5838.0,5846.0
5063,6647,5851,Oligo,6647.0,5851.0
5079,6790,5864,Oligo,6790.0,5864.0
5081,5664,5868,Micro/PVM,5664.0,5868.0
5082,9001,5867,Astro,9001.0,5867.0
5086,9130,5870,Oligo,9130.0,5870.0
5087,7750,5871,OPC,7750.0,5871.0
5107,6355,5899,Oligo,6355.0,5899.0
5108,9401,5899,Micro/PVM,9401.0,5899.0
5112,6405,5903,L5 ET,6405.0,5903.0
5113,9101,5901,Oligo,9101.0,5901.0
5121,7306,5905,Oligo,7306.0,5905.0
5125,5895,5908,Oligo,5895.0,5908.0
5132,7838,5913,Oligo,7838.0,5913.0
5133,8203,5914,Oligo,8203.0,5914.0
5149,8519,5929,Oligo,8519.0,5929.0
5154,7327,5931,Oligo,7327.0,5931.0
5155,7546,5931,Oligo,7546.0,5931.0
5156,8016,5931,Oligo,8016.0,5931.0
5157,8671,5933,Oligo,8671.0,5933.0
5162,8466,5935,Micro/PVM,8466.0,5935.0
5163,6823,5940,Oligo,6823.0,5940.0
5168,7912,5943,Oligo,7912.0,5943.0
5173,6905,5943,Astro,6905.0,5943.0
5174,6997,5945,OPC,6997.0,5945.0
5175,7601,5944,Oligo,7601.0,5944.0
5187,6244,5953,Oligo,6244.0,5953.0
5188,8411,5954,Oligo,8411.0,5954.0
5200,5564,5960,Astro,5564.0,5960.0
5201,6284,5965,Micro/PVM,6284.0,5965.0
5207,5717,5968,Oligo,5717.0,5968.0
5209,6513,5969,Oligo,6513.0,5969.0
5214,6606,5972,Oligo,6606.0,5972.0
5222,6080,5977,Oligo,6080.0,5977.0
5223,6874,5979,Oligo,6874.0,5979.0
5242,6496,6002,L6 CT,6496.0,6002.0
5243,8879,6002,Oligo,8879.0,6002.0
5250,8569,6015,Oligo,8569.0,6015.0
5251,9430,6016,Oligo,9430.0,6016.0
5253,8913,6021,Oligo,8913.0,6021.0
5257,6484,6027,Oligo,6484.0,6027.0
5258,7237,6027,Oligo,7237.0,6027.0
5259,8845,6026,Oligo,8845.0,6026.0
5274,9017,6038,L6 IT,9017.0,6038.0
5275,9066,6037,L6 CT,9066.0,6037.0
5280,7508,6048,Oligo,7508.0,6048.0
5285,6479,6051,Oligo,6479.0,6051.0
5287,8707,6052,Oligo,8707.0,6052.0
5294,8558,6057,Oligo,8558.0,6057.0
5297,5916,6063,Oligo,5916.0,6063.0
5302,5721,6068,Oligo,5721.0,6068.0
5303,7800,6067,Micro/PVM,7800.0,6067.0
5304,8093,6068,Oligo,8093.0,6068.0
5310,7684,6072,Oligo,7684.0,6072.0
5311,8165,6074,Oligo,8165.0,6074.0
5322,6125,6079,Oligo,6125.0,6079.0
5323,8140,6080,OPC,8140.0,6080.0
5324,8663,6079,Endo,8663.0,6079.0
5330,5750,6082,Oligo,5750.0,6082.0
5335,9409,6086,Oligo,9409.0,6086.0
5336,8604,6087,Oligo,8604.0,6087.0
5337,9059,6088,Oligo,9059.0,6088.0
5338,9438,6088,Oligo,9438.0,6088.0
5351,7797,6096,Oligo,7797.0,6096.0
5357,9390,6105,Oligo,9390.0,6105.0
5360,7283,6104,Oligo,7283.0,6104.0
5366,8248,6110,L4 IT,8248.0,6110.0
5368,8941,6112,Oligo,8941.0,6112.0
5376,9417,6118,L5 IT,9417.0,6118.0
5377,5695,6119,Astro,5695.0,6119.0
5378,9141,6120,Oligo,9141.0,6120.0
5382,6585,6122,Oligo,6585.0,6122.0
5383,8535,6120,Oligo,8535.0,6120.0
5386,7686,6125,Oligo,7686.0,6125.0
5387,6949,6126,Astro,6949.0,6126.0
5394,8161,6134,Oligo,8161.0,6134.0
5395,8339,6134,Oligo,8339.0,6134.0
5408,8106,6148,Oligo,8106.0,6148.0
5412,8195,6149,Astro,8195.0,6149.0
5419,6098,6155,Oligo,6098.0,6155.0
5420,9436,6157,Oligo,9436.0,6157.0
5424,8560,6158,Oligo,8560.0,6158.0
5455,6364,6184,Oligo,6364.0,6184.0
5456,8324,6186,L2/3 IT,8324.0,6186.0
5464,5622,6196,Astro,5622.0,6196.0
5471,7757,6202,Astro,7757.0,6202.0
5474,6883,6204,Oligo,6883.0,6204.0
5483,6716,6209,Astro,6716.0,6209.0
5490,7548,6217,L6 IT,7548.0,6217.0
5497,5659,6222,Oligo,5659.0,6222.0
5511,7515,6232,Oligo,7515.0,6232.0
5512,8801,6230,Oligo,8801.0,6230.0
5524,9131,6238,Oligo,9131.0,6238.0
5547,8399,6256,Oligo,8399.0,6256.0
5551,8985,6258,Micro/PVM,8985.0,6258.0
5552,9176,6261,Oligo,9176.0,6261.0
5560,8299,6266,Oligo,8299.0,6266.0
5570,9498,6277,OPC,9498.0,6277.0
5576,6751,6286,Oligo,6751.0,6286.0
5577,7645,6285,Astro,7645.0,6285.0
5592,7388,6298,Oligo,7388.0,6298.0
5596,7184,6301,Oligo,7184.0,6301.0
5605,8804,6309,OPC,8804.0,6309.0
5617,9374,6324,Oligo,9374.0,6324.0
5619,5575,6326,Oligo,5575.0,6326.0
5620,9452,6326,Oligo,9452.0,6326.0
5625,7157,6330,Astro,7157.0,6330.0
5627,6876,6334,L6 CT,6876.0,6334.0
5636,7731,6343,Oligo,7731.0,6343.0
5638,5692,6346,Oligo,5692.0,6346.0
5642,9372,6350,L6 IT,9372.0,6350.0
5644,9110,6353,Oligo,9110.0,6353.0
5651,6871,6360,L6B,6871.0,6360.0
5652,7581,6360,OPC,7581.0,6360.0
5664,5800,6369,OPC,5800.0,6369.0
5668,9235,6374,Oligo,9235.0,6374.0
5669,8907,6376,Oligo,8907.0,6376.0
5672,8198,6379,Astro,8198.0,6379.0
5676,9145,6385,Oligo,9145.0,6385.0
5681,7483,6392,Astro,7483.0,6392.0
5684,8168,6394,Oligo,8168.0,6394.0
5685,9060,6396,Astro,9060.0,6396.0
5700,9088,6405,Oligo,9088.0,6405.0
5718,9201,6419,Oligo,9201.0,6419.0
5725,9461,6424,Astro,9461.0,6424.0
5730,9035,6427,Astro,9035.0,6427.0
5731,6702,6430,VIP,6702.0,6430.0
5733,6804,6433,Oligo,6804.0,6433.0
5740,5578,6440,Oligo,5578.0,6440.0
5751,6974,6454,L6 CT,6974.0,6454.0
5752,9034,6454,L6 CT,9034.0,6454.0
5757,6156,6454,Astro,6156.0,6454.0
5760,9422,6456,Oligo,9422.0,6456.0
5762,7204,6460,Oligo,7204.0,6460.0
5763,7240,6461,Oligo,7240.0,6461.0
5764,8286,6461,Oligo,8286.0,6461.0
5765,7944,6461,Oligo,7944.0,6461.0
5769,5832,6465,Oligo,5832.0,6465.0
5772,6619,6467,Oligo,6619.0,6467.0
5779,5809,6474,L6B,5809.0,6474.0
5780,8420,6475,L6 IT,8420.0,6475.0
5782,8138,6477,L6 IT,8138.0,6477.0
5784,6478,6479,Oligo,6478.0,6479.0
5785,9296,6480,Oligo,9296.0,6480.0
5790,6413,6484,Oligo,6413.0,6484.0
5797,7818,6487,Oligo,7818.0,6487.0
5799,6514,6490,L6 IT Car3,6514.0,6490.0
5800,8965,6489,Oligo,8965.0,6489.0
5817,6382,6503,Oligo,6382.0,6503.0
5818,8486,6505,Oligo,8486.0,6505.0
5822,8896,6505,Oligo,8896.0,6505.0
5829,7147,6512,Oligo,7147.0,6512.0
5831,5573,6512,Oligo,5573.0,6512.0
5844,8280,6520,Oligo,8280.0,6520.0
5853,8521,6530,Oligo,8521.0,6530.0
5854,8684,6531,Oligo,8684.0,6531.0
5864,8774,6535,LAMP5 LHX6,8774.0,6535.0
5865,7412,6534,Oligo,7412.0,6534.0
5870,8653,6542,L6 IT,8653.0,6542.0
5878,7392,6547,OPC,7392.0,6547.0
5881,7329,6550,Oligo,7329.0,6550.0
5889,5618,6558,Oligo,5618.0,6558.0
5890,6957,6561,Oligo,6957.0,6561.0
5891,8459,6562,Oligo,8459.0,6562.0
5898,5905,6569,Oligo,5905.0,6569.0
5899,6466,6570,Oligo,6466.0,6570.0
5905,7378,6573,Oligo,7378.0,6573.0
5908,7831,6577,Oligo,7831.0,6577.0
5918,8105,6587,Oligo,8105.0,6587.0
5920,6185,6587,Oligo,6185.0,6587.0
5927,8584,6594,L6B,8584.0,6594.0
5928,9215,6594,Oligo,9215.0,6594.0
5933,6353,6598,Astro,6353.0,6598.0
5936,6150,6602,Oligo,6150.0,6602.0
5937,6525,6601,Oligo,6525.0,6601.0
5952,8916,6616,L6 IT,8916.0,6616.0
5954,9424,6621,Oligo,9424.0,6621.0
5961,8791,6630,Astro,8791.0,6630.0
5965,9147,6623,L6 IT,9147.0,6623.0
5973,7644,6633,Oligo,7644.0,6633.0
5989,6700,6643,Oligo,6700.0,6643.0
5990,6730,6644,Oligo,6730.0,6644.0
5996,8449,6648,Oligo,8449.0,6648.0
6002,6432,6649,Oligo,6432.0,6649.0
6024,7100,6668,Oligo,7100.0,6668.0
6027,7618,6670,SNCG,7618.0,6670.0
6029,9308,6673,Oligo,9308.0,6673.0
6037,7465,6679,Astro,7465.0,6679.0
6038,8608,6679,Oligo,8608.0,6679.0
6051,8970,6688,Oligo,8970.0,6688.0
6057,8112,6690,Oligo,8112.0,6690.0
6058,8138,6689,Micro/PVM,8138.0,6689.0
6067,5868,6698,Oligo,5868.0,6698.0
6068,7921,6698,Oligo,7921.0,6698.0
6072,5971,6703,Micro/PVM,5971.0,6703.0
6075,9455,6704,VIP,9455.0,6704.0
6084,9053,6715,Oligo,9053.0,6715.0
6094,7234,6724,L6 CT,7234.0,6724.0
6095,8389,6723,Oligo,8389.0,6723.0
6099,8599,6728,L6B,8599.0,6728.0
6102,7646,6728,Oligo,7646.0,6728.0
6105,9454,6735,Oligo,9454.0,6735.0
6124,6075,6742,Oligo,6075.0,6742.0
6125,6834,6742,Astro,6834.0,6742.0
6128,8151,6744,Oligo,8151.0,6744.0
6130,7684,6745,Oligo,7684.0,6745.0
6132,6147,6749,Micro/PVM,6147.0,6749.0
6133,6188,6747,Oligo,6188.0,6747.0
6138,7305,6749,Oligo,7305.0,6749.0
6140,8876,6753,Oligo,8876.0,6753.0
6148,6676,6760,Oligo,6676.0,6760.0
6160,8324,6773,Oligo,8324.0,6773.0
6168,7034,6776,Micro/PVM,7034.0,6776.0
6174,7359,6779,Micro/PVM,7359.0,6779.0
6177,7307,6784,L6 CT,7307.0,6784.0
6185,5819,6789,Oligo,5819.0,6789.0
6191,6548,6797,Oligo,6548.0,6797.0
6205,9349,6805,Oligo,9349.0,6805.0
6206,9455,6805,Micro/PVM,9455.0,6805.0
6210,8653,6813,OPC,8653.0,6813.0
6214,8208,6819,Endo,8208.0,6819.0
6247,6980,6842,Oligo,6980.0,6842.0
6271,6828,6864,Astro,6828.0,6864.0
6272,7171,6863,Astro,7171.0,6863.0
6273,8440,6862,Oligo,8440.0,6862.0
6275,5887,6865,Astro,5887.0,6865.0
6280,8915,6875,Micro/PVM,8915.0,6875.0
6285,8875,6878,Oligo,8875.0,6878.0
6288,6645,6879,Oligo,6645.0,6879.0
6289,6962,6881,Oligo,6962.0,6881.0
6294,7175,6885,Oligo,7175.0,6885.0
6295,9290,6884,L2/3 IT,9290.0,6884.0
6306,7814,6895,Oligo,7814.0,6895.0
6319,8082,6902,Oligo,8082.0,6902.0
6325,7687,6908,L6 IT Car3,7687.0,6908.0
6329,5715,6912,Oligo,5715.0,6912.0
6330,5990,6914,Oligo,5990.0,6914.0
6337,6391,6917,L6 IT,6391.0,6917.0
6340,5694,6923,Oligo,5694.0,6923.0
6347,9074,6943,Oligo,9074.0,6943.0
6351,5926,6939,Oligo,5926.0,6939.0
6357,6700,6942,Oligo,6700.0,6942.0
6361,8813,6948,Oligo,8813.0,6948.0
6363,7650,6951,Oligo,7650.0,6951.0
6370,7961,6953,Oligo,7961.0,6953.0
6372,8277,6957,Oligo,8277.0,6957.0
6376,7681,6960,Oligo,7681.0,6960.0
6378,6570,6962,Oligo,6570.0,6962.0
6381,7520,6963,L6 CT,7520.0,6963.0
6384,6135,6967,Oligo,6135.0,6967.0
6385,7304,6967,Oligo,7304.0,6967.0
6386,7978,6970,Oligo,7978.0,6970.0
6403,8230,6985,Oligo,8230.0,6985.0
